Company Name: Manugraph India Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Engineering,
Company Name: PBM Polytex Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: Diligent Industries Ltd, Sector: Edible Oil, Industry: Solvent Extraction,
Company Name: Money Masters Leasing & Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: E-Land Apparel Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Real Eco-Energy Ltd, Sector: Trading, Industry: Trading,
Company Name: National Oxygen Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Valencia Nutrition Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Italian Edibles Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Siti Networks Ltd, Sector: Entertainment, Industry: Entertainment / Electronic Media Software,
Company Name: Ahasolar Technologies Ltd, Sector: E-Commerce/App based Aggregator, Industry: Trading,
Company Name: Yuvraaj Hygiene Products Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Bhudevi Infra Projects Ltd, Sector: Realty, Industry: Construction,
Company Name: Sharanam Infraproject & Trading Ltd, Sector: Retail, Industry: Trading,
Company Name: Rajgor Castor Derivatives Ltd, Sector: Edible Oil, Industry: Solvent Extraction,
Company Name: Metal Coatings (India) Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: Growington Ventures India Ltd, Sector: Trading, Industry: Trading,
Company Name: Humming Bird Education Ltd, Sector: Education, Industry: Miscellaneous,
Company Name: Modern Engineering and Projects Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Vivid Mercantile Ltd, Sector: Trading, Industry: Trading,
Company Name: Savani Financials Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Baba Arts Ltd, Sector: Entertainment, Industry: Entertainment / Electronic Media Software,
Company Name: DSJ Keep Learning Ltd, Sector: Education, Industry: Miscellaneous,
Company Name: ISL Consulting Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Nova Iron & Steel Ltd, Sector: Steel, Industry: Steel - Sponge Iron,
Company Name: Lakshmi Finance & Industrial Corporation Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Comfort Fincap Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: ABC India Ltd, Sector: Logistics, Industry: Miscellaneous,
Company Name: A B M International Ltd, Sector: Trading, Industry: Trading,
Company Name: Clara Industries Ltd, Sector: Packaging, Industry: Packaging,
Company Name: MKP Mobility Ltd, Sector: Trading, Industry: Trading,
Company Name: Shree Hari Chemicals Export Ltd, Sector: Chemicals, Industry: Dyes And Pigments,
